NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
DE,Germany (until 1990 former territory of the FRG),DE4,Brandenburg,NUTS1,R2000,6.96,435.84,1316,0.53,2965.4,0.234
DE,Germany (until 1990 former territory of the FRG),DE40,Brandenburg,NUTS2,R2000,6.96,435.84,,,2965.4,
DE,Germany (until 1990 former territory of the FRG),DE5,Bremen,NUTS1,R2000,0,,8.02,0,41.9,0
DE,Germany (until 1990 former territory of the FRG),DE50,Bremen,NUTS2,R2000,,,,,41.9,
DE,Germany (until 1990 former territory of the FRG),DE6,Hamburg,NUTS1,R2000,0,,14.6,0,75.5,0
DE,Germany (until 1990 former territory of the FRG),DE60,Hamburg,NUTS2,R2000,0,,,,75.5,
DE,Germany (until 1990 former territory of the FRG),DE7,Hessen,NUTS1,R2000,17.26,1350.78,768,"2,248",2111.5,0.816
DE,Germany (until 1990 former territory of the FRG),DE71,Darmstadt,NUTS2,R2000,17.26,1350.78,,,744.5,
DE,Germany (until 1990 former territory of the FRG),DE72,Gießen,NUTS2,R2000,,,,,538.1,
DE,Germany (until 1990 former territory of the FRG),DE73,Kassel,NUTS2,R2000,,,,,828.9,
DE,Germany (until 1990 former territory of the FRG),DE8,Mecklenburg-Vorpommern,NUTS1,R2000,27.3,1962.9,1346.2,2.03,2321.3,"1,176"
DE,Germany (until 1990 former territory of the FRG),DE80,Mecklenburg-Vorpommern,NUTS2,R2000,27.3,1962.9,,,2321.3,
DE,Germany (until 1990 former territory of the FRG),DE9,Niedersachsen,NUTS1,R2000,101.26,7835.06,2581.64,"3,922",4761.5,"2,126"
DE,Germany (until 1990 former territory of the FRG),DE91,Braunschweig,NUTS2,R2000,101.26,7835.06,,,810,
DE,Germany (until 1990 former territory of the FRG),DE92,Hannover,NUTS2,R2000,,,,,904.8,
DE,Germany (until 1990 former territory of the FRG),DE93,Lüneburg,NUTS2,R2000,,,,,1549.6,
DE,Germany (until 1990 former territory of the FRG),DE94,Weser-Ems,NUTS2,R2000,,,,,1497.1,
DE,Germany (until 1990 former territory of the FRG),DEA,Nordrhein-Westfalen,NUTS1,R2000,57.4,4502.06,1473.78,"3,898",3411,"1,684"
DE,Germany (until 1990 former territory of the FRG),DEA1,Düsseldorf,NUTS2,R2000,57.4,4502.06,,,529.2,
DE,Germany (until 1990 former territory of the FRG),DEA2,Köln,NUTS2,R2000,,,,,736.4,
DE,Germany (until 1990 former territory of the FRG),DEA3,Münster,NUTS2,R2000,,,,,691.7,
DE,Germany (until 1990 former territory of the FRG),DEA4,Detmold,NUTS2,R2000,,,,,652.5,
DE,Germany (until 1990 former territory of the FRG),DEA5,Arnsberg,NUTS2,R2000,,,,,801.2,
DE,Germany (until 1990 former territory of the FRG),DEB,Rheinland-Pfalz,NUTS1,R2000,17.96,1316.56,706.46,"2,542",1985.4,0.904
DE,Germany (until 1990 former territory of the FRG),DEB1,Koblenz,NUTS2,R2000,17.96,1316.56,,,807.3,
DE,Germany (until 1990 former territory of the FRG),DEB2,Trier,NUTS2,R2000,,,,,492.4,
DE,Germany (until 1990 former territory of the FRG),DEB3,Rheinhessen-Pfalz,NUTS2,R2000,,,,,685.1,
DE,Germany (until 1990 former territory of the FRG),DEC,Saarland,NUTS1,R2000,0,,74.62,0,256.9,0
DE,Germany (until 1990 former territory of the FRG),DEC,Saarland,NUTS1,R2000,0,0,74.62,0,256.9,0
DE,Germany (until 1990 former territory of the FRG),Dec-00,Saarland,NUTS2,R2000,,,,,256.9,
DE,Germany (until 1990 former territory of the FRG),DED,Sachsen,NUTS1,R2000,15.54,1075.44,899.34,"1,728",1842,0.844
DE,Germany (until 1990 former territory of the FRG),DED2,Dresden,NUTS2,R2000,15.54,1075.44,,,793.1,
DE,Germany (until 1990 former territory of the FRG),DED4,Chemnitz,NUTS2,R2000,,,,,652.4,
DE,Germany (until 1990 former territory of the FRG),DED5,Leipzig,NUTS2,R2000,,,,,396.5,
DE,Germany (until 1990 former territory of the FRG),DEE,Sachsen-Anhalt,NUTS1,R2000,50.3,2965.24,1165.58,"4,316",2045.2,2.46
DE,Germany (until 1990 former territory of the FRG),DEE0,Sachsen-Anhalt,NUTS2,R2000,50.3,2965.24,,,2045.2,
DE,Germany (until 1990 former territory of the FRG),DEF,Schleswig-Holstein,NUTS1,R2000,9.26,737.12,985.4,0.94,1580.2,0.584
DE,Germany (until 1990 former territory of the FRG),DEF0,Schleswig-Holstein,NUTS2,R2000,9.26,737.12,,,1580.2,
DE,Germany (until 1990 former territory of the FRG),DEG,Thüringen,NUTS1,R2000,11.08,746,775.98,"1,428",1620.2,0.686
DE,Germany (until 1990 former territory of the FRG),DEG0,Thüringen,NUTS2,R2000,11.08,746,,,1620.2,
DE,Germany (until 1990 former territory of the FRG),DEW,Federal Republic of Germany (former territory of the FRG only),NUTS1,R2000,,,,,,
DK,Denmark,DK,Denmark,NUTS0,R2000,32.82,2406.76,2625.64,1.25,4292.4,0.764
DK,Denmark,DK0,Danmark,NUTS1,R2000,32.82,2406.76,2625.64,1.25,4292.4,0.764
DK,Denmark,DK01,Hovedstaden,NUTS2,R2000,0,0,102.51,0,255.9,0
DK,Denmark,DK02,Sjælland,NUTS2,R2000,32.04,2348.72,472.12,6.79,722.3,"4,436"
DK,Denmark,DK03,Syddanmark,NUTS2,R2000,0.8,58.04,773.66,0.104,1225.6,0.068
DK,Denmark,DK04,Midtjylland,NUTS2,R2000,0,0,790.68,0,1300.6,0
DK,Denmark,DK05,Nordjylland,NUTS2,R2000,0,0,486.67,0,787.9,0
EE,Estonia,EE,Estonia,NUTS0,R2000,0,0,985.41,0,4522.7,0
EE,Estonia,EE0,Eesti,NUTS1,R2000,0,0,,,4522.7,0
EL,Greece,EL,Greece,NUTS0,R2000,2.35,129.08,5199.68,0.046,13204.9,0.016
EL,Greece,EL1,Voreia Ellada (NUTS 2010),NUTS1,R2000,,,,,,
EL,Greece,EL11,"Anatoliki Makedonia, Thraki (NUTS 2010)",NUTS2,R2000,,,,,,
EL,Greece,EL12,Kentriki Makedonia (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL13,Dytiki Makedonia (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL14,Thessalia (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL2,Kentriki Ellada (NUTS 2010),NUTS1,R2000,,,,,,
EL,Greece,EL21,Ipeiros (NUTS 2010),NUTS2,R2000,,,,,,
