NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
DE,Germany (until 1990 former territory of the FRG),DE71,Darmstadt,NUTS2,F2000,0,0,0,,744.5,0
DE,Germany (until 1990 former territory of the FRG),DE72,Gießen,NUTS2,F2000,0,0,0,,538.1,0
DE,Germany (until 1990 former territory of the FRG),DE73,Kassel,NUTS2,F2000,0,0,0,,828.9,0
DE,Germany (until 1990 former territory of the FRG),DE80,Mecklenburg-Vorpommern,NUTS2,F2000,0,0,0,,2321.3,0
DE,Germany (until 1990 former territory of the FRG),DE91,Braunschweig,NUTS2,F2000,0,0,0,,810,0
DE,Germany (until 1990 former territory of the FRG),DE92,Hannover,NUTS2,F2000,0,0,0,,904.8,0
DE,Germany (until 1990 former territory of the FRG),DE93,Lüneburg,NUTS2,F2000,0,0,0,,1549.6,0
DE,Germany (until 1990 former territory of the FRG),DE94,Weser-Ems,NUTS2,F2000,0,0,0,,1497.1,0
DE,Germany (until 1990 former territory of the FRG),DEA1,Düsseldorf,NUTS2,F2000,0,0,0,,529.2,0
DE,Germany (until 1990 former territory of the FRG),DEA2,Köln,NUTS2,F2000,0,0,0,,736.4,0
DE,Germany (until 1990 former territory of the FRG),DEA3,Münster,NUTS2,F2000,0,0,0,,691.7,0
DE,Germany (until 1990 former territory of the FRG),DEA4,Detmold,NUTS2,F2000,0,0,0,,652.5,0
DE,Germany (until 1990 former territory of the FRG),DEA5,Arnsberg,NUTS2,F2000,0,0,0,,801.2,0
DE,Germany (until 1990 former territory of the FRG),DEB1,Koblenz,NUTS2,F2000,0,0,0,,807.3,0
DE,Germany (until 1990 former territory of the FRG),DEB2,Trier,NUTS2,F2000,0,0,0,,492.4,0
DE,Germany (until 1990 former territory of the FRG),DEB3,Rheinhessen-Pfalz,NUTS2,F2000,0,0,0,,685.1,0
DE,Germany (until 1990 former territory of the FRG),DEC0,Saarland,NUTS2,F2000,0,0,0,,256.9,0
DE,Germany (until 1990 former territory of the FRG),DED2,Dresden,NUTS2,F2000,0,0,0,,793.1,0
DE,Germany (until 1990 former territory of the FRG),DED4,Chemnitz,NUTS2,F2000,0,0,0,,652.4,0
DE,Germany (until 1990 former territory of the FRG),DED5,Leipzig,NUTS2,F2000,0,0,0,,396.5,0
DE,Germany (until 1990 former territory of the FRG),DEE0,Sachsen-Anhalt,NUTS2,F2000,0,0,0,,2045.2,0
DE,Germany (until 1990 former territory of the FRG),DEF0,Schleswig-Holstein,NUTS2,F2000,0,0,0,,1580.2,0
DE,Germany (until 1990 former territory of the FRG),DEG0,Thüringen,NUTS2,F2000,0,0,0,,1620.2,0
DK,Denmark,DK,Denmark,NUTS0,F2000,0,0,2625.64,0,4292.4,0
DK,Denmark,DK01,Hovedstaden,NUTS2,F2000,0,0,0,,255.9,0
DK,Denmark,DK02,Sjælland,NUTS2,F2000,0,0,0,,722.3,0
DK,Denmark,DK03,Syddanmark,NUTS2,F2000,0,0,0,,1225.6,0
DK,Denmark,DK04,Midtjylland,NUTS2,F2000,0,0,0,,1300.6,0
DK,Denmark,DK05,Nordjylland,NUTS2,F2000,0,0,0,,787.9,0
EE,Estonia,EE,Estonia,NUTS0,F2000,0,0,985.41,0,4522.7,0
EE,Estonia,EE00,Eesti,NUTS2,F2000,0,0,0,,4522.7,0
EL,Greece,EL,Greece,NUTS0,F2000,15.15,318.37,5199.68,1.581,13204.9,0.118238
EL,Greece,EL11,"Anatoliki Makedonia, Thraki (NUTS 2010)",NUTS2,F2000,0,0,0,,,
EL,Greece,EL12,Kentriki Makedonia (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL13,Dytiki Makedonia (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL14,Thessalia (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL21,Ipeiros (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL22,Ionia Nisia (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL23,Dytiki Ellada (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL24,Sterea Ellada (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL25,Peloponnisos (NUTS 2010),NUTS2,F2000,0,0,0,,,
EL,Greece,EL30,Attiki,NUTS2,F2000,0.15,1.89,5.22,2.868,381.4,0.039256
EL,Greece,EL41,Voreio Aigaio,NUTS2,F2000,0.09,1.1,3.04,2.868,385.4,0.022664
EL,Greece,EL42,Notio Aigaio,NUTS2,F2000,0.04,0.47,1.3,2.868,530.5,0.007056
EL,Greece,EL43,Kriti,NUTS2,F2000,0.7,8.8,24.35,2.868,834,0.083782
EL,Greece,EL51,"Anatoliki Makedonia, Thraki",NUTS2,F2000,2.27,28.6,79.13,2.868,1417.9,0.160162
EL,Greece,EL52,Kentriki Makedonia,NUTS2,F2000,5.39,67.88,187.83,2.868,1916.6,0.28124
EL,Greece,EL53,Dytiki Makedonia,NUTS2,F2000,0.02,0.31,0.87,2.868,947.1,0.002634
EL,Greece,EL54,Ipeiros,NUTS2,F2000,1.52,19.17,53.04,2.868,916.4,0.166112
EL,Greece,EL61,Thessalia,NUTS2,F2000,0.7,8.8,24.35,2.868,1405.1,0.04973
EL,Greece,EL62,Ionia Nisia,NUTS2,F2000,0.01,0.16,0.43,2.868,230.6,0.00541
